row_key,id,split,domain,provider,judge_model,repetition,include_domain,candidate_order_json,raw_predicted_label,predicted_label,predicted_source_type,confidence,scores_json,evidence_json,input_tokens,output_tokens,total_tokens,error
test::T0060,T0060,test,opinion,openai,gpt-5.6-luna,0,False,"[""human"", ""HuggingFaceTB/SmolLM3-3B"", ""Qwen/Qwen3-4B-Instruct-2507"", ""google/gemma-4-E4B-it"", ""microsoft/Phi-4-mini-instruct"", ""mistralai/Mistral-7B-Instruct-v0.3""]",google/gemma-4-E4B-it,google/gemma-4-E4B-it,ai,0.39,"{""human"": 0.03, ""HuggingFaceTB/SmolLM3-3B"": 0.08, ""Qwen/Qwen3-4B-Instruct-2507"": 0.16, ""google/gemma-4-E4B-it"": 0.39, ""microsoft/Phi-4-mini-instruct"": 0.19, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.15}","[""Highly formulaic pro/con essay structure with repeated transition phrases such as “Additionally,” “However,” “Furthermore,” and “Ultimately.”"", ""Broad claims, generic examples, and occasional awkward phrasing (“Finishing with a complete sentence,” “carbon footprints”) suggest generated text rather than polished human prose."", ""The forced concluding sentence and minor formatting/word-choice inconsistencies are especially characteristic of instruction-following model output.""]",934.0,231.0,1165.0,
test::T0060,T0060,test,opinion,openai,gpt-5.6-luna,1,False,"[""microsoft/Phi-4-mini-instruct"", ""HuggingFaceTB/SmolLM3-3B"", ""mistralai/Mistral-7B-Instruct-v0.3"", ""google/gemma-4-E4B-it"", ""human"", ""Qwen/Qwen3-4B-Instruct-2507""]",mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,ai,0.34,"{""human"": 0.06, ""HuggingFaceTB/SmolLM3-3B"": 0.08, ""Qwen/Qwen3-4B-Instruct-2507"": 0.22, ""google/gemma-4-E4B-it"": 0.18, ""microsoft/Phi-4-mini-instruct"": 0.12, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.34}","[""Highly formulaic balanced-argument structure with repeated benefit/drawback transitions and generic policy language."", ""The awkward final meta-style sentence and minor spacing/hyphenation issue suggest generated text rather than polished human prose."", ""Overall fluency and extended organization are most consistent with a larger instruction-tuned model.""]",934.0,215.0,1149.0,
test::T0060,T0060,test,opinion,openai,gpt-5.6-luna,2,False,"[""Qwen/Qwen3-4B-Instruct-2507"", ""mistralai/Mistral-7B-Instruct-v0.3"", ""microsoft/Phi-4-mini-instruct"", ""human"", ""google/gemma-4-E4B-it"", ""HuggingFaceTB/SmolLM3-3B""]",mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,ai,0.28,"{""human"": 0.08, ""HuggingFaceTB/SmolLM3-3B"": 0.15, ""Qwen/Qwen3-4B-Instruct-2507"": 0.16, ""google/gemma-4-E4B-it"": 0.15, ""microsoft/Phi-4-mini-instruct"": 0.18, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.28}","[""Highly formulaic argumentative structure with stock transitions such as “Indeed,” “However,” “Ultimately,” and “In conclusion.”"", ""Broad claims, repetitive benefit framing, and somewhat awkward phrasing (for example, “Finishing with a complete sentence”) suggest small-model generation rather than polished human prose."", ""The text is grammatically coherent but contains generic elaboration and limited concrete specificity, consistent with an instruction-tuned model.""]",934.0,239.0,1173.0,
test::T0060,T0060,test,opinion,gemini,gemini-3.5-flash-lite,0,False,"[""human"", ""Qwen/Qwen3-4B-Instruct-2507"", ""google/gemma-4-E4B-it"", ""microsoft/Phi-4-mini-instruct"", ""mistralai/Mistral-7B-Instruct-v0.3"", ""HuggingFaceTB/SmolLM3-3B""]",human,human,human,0.45,"{""human"": 0.45, ""HuggingFaceTB/SmolLM3-3B"": 0.1, ""Qwen/Qwen3-4B-Instruct-2507"": 0.15, ""google/gemma-4-E4B-it"": 0.1, ""microsoft/Phi-4-mini-instruct"": 0.1, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.1}","[""The text includes an awkward meta-commentary sentence at the end (‘Finishing with a complete sentence...’) that breaks typical AI formatting constraints."", ""Varied and natural lexical choices throughout the essay align well with human composition style.""]",,,1101.0,
test::T0060,T0060,test,opinion,gemini,gemini-3.5-flash-lite,1,False,"[""microsoft/Phi-4-mini-instruct"", ""HuggingFaceTB/SmolLM3-3B"", ""human"", ""google/gemma-4-E4B-it"", ""mistralai/Mistral-7B-Instruct-v0.3"", ""Qwen/Qwen3-4B-Instruct-2507""]",Qwen/Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,ai,0.75,"{""human"": 0.05, ""HuggingFaceTB/SmolLM3-3B"": 0.05, ""Qwen/Qwen3-4B-Instruct-2507"": 0.75, ""google/gemma-4-E4B-it"": 0.05, ""microsoft/Phi-4-mini-instruct"": 0.05, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.05}","[""Overuse of typical instructional transition phrases and structured balance between opposing viewpoints."", ""Presence of an explicit meta-instruction artifact ('Finishing with a complete sentence:') at the end."", ""Lexical choices and formulaic phrasing typical of Qwen instruction-tuned output styles.""]",,,1129.0,
test::T0060,T0060,test,opinion,gemini,gemini-3.5-flash-lite,2,False,"[""human"", ""microsoft/Phi-4-mini-instruct"", ""google/gemma-4-E4B-it"", ""HuggingFaceTB/SmolLM3-3B"", ""Qwen/Qwen3-4B-Instruct-2507"", ""mistralai/Mistral-7B-Instruct-v0.3""]",microsoft/Phi-4-mini-instruct,microsoft/Phi-4-mini-instruct,ai,0.75,"{""human"": 0.05, ""HuggingFaceTB/SmolLM3-3B"": 0.05, ""Qwen/Qwen3-4B-Instruct-2507"": 0.05, ""google/gemma-4-E4B-it"": 0.05, ""microsoft/Phi-4-mini-instruct"": 0.75, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.05}","[""Overuse of formulaic transition words and balanced argumentative phrasing characteristic of small instruction-tuned models."", ""Unusual meta-commentary at the end ('Finishing with a complete sentence:') typical of prompt artifact leakage in certain model families."", ""Uniform paragraph structure and predictable vocabulary choices throughout the essay.""]",,,1128.0,
test::T0084,T0084,test,opinion,openai,gpt-5.6-luna,0,False,"[""google/gemma-4-E4B-it"", ""microsoft/Phi-4-mini-instruct"", ""mistralai/Mistral-7B-Instruct-v0.3"", ""HuggingFaceTB/SmolLM3-3B"", ""human"", ""Qwen/Qwen3-4B-Instruct-2507""]",google/gemma-4-E4B-it,google/gemma-4-E4B-it,ai,0.3,"{""human"": 0.08, ""HuggingFaceTB/SmolLM3-3B"": 0.12, ""Qwen/Qwen3-4B-Instruct-2507"": 0.2, ""google/gemma-4-E4B-it"": 0.3, ""microsoft/Phi-4-mini-instruct"": 0.16, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.14}","[""Highly formulaic argumentative structure with broad, repetitive claims and predictable transitions."", ""The prose is grammatical but generic, with limited concrete examples or distinctive authorial voice."", ""The unfinished concluding sentence is consistent with a generated-text truncation artifact.""]",981.0,196.0,1177.0,
test::T0084,T0084,test,opinion,openai,gpt-5.6-luna,1,False,"[""microsoft/Phi-4-mini-instruct"", ""mistralai/Mistral-7B-Instruct-v0.3"", ""Qwen/Qwen3-4B-Instruct-2507"", ""human"", ""HuggingFaceTB/SmolLM3-3B"", ""google/gemma-4-E4B-it""]",microsoft/Phi-4-mini-instruct,microsoft/Phi-4-mini-instruct,ai,0.3,"{""human"": 0.08, ""HuggingFaceTB/SmolLM3-3B"": 0.17, ""Qwen/Qwen3-4B-Instruct-2507"": 0.14, ""google/gemma-4-E4B-it"": 0.15, ""microsoft/Phi-4-mini-instruct"": 0.3, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.16}","[""Highly formulaic expository structure with broad claims and repeated transitions such as “Additionally,” “Moreover,” and “Furthermore.”"", ""The passage ends mid-sentence, suggesting a generation or truncation artifact rather than polished human revision."", ""Generic, evenly balanced pro/con treatment with limited concrete examples is characteristic of instructional language-model output.""]",981.0,214.0,1195.0,
test::T0084,T0084,test,opinion,openai,gpt-5.6-luna,2,False,"[""human"", ""HuggingFaceTB/SmolLM3-3B"", ""microsoft/Phi-4-mini-instruct"", ""google/gemma-4-E4B-it"", ""mistralai/Mistral-7B-Instruct-v0.3"", ""Qwen/Qwen3-4B-Instruct-2507""]",HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,ai,0.32,"{""human"": 0.08, ""HuggingFaceTB/SmolLM3-3B"": 0.32, ""Qwen/Qwen3-4B-Instruct-2507"": 0.16, ""google/gemma-4-E4B-it"": 0.14, ""microsoft/Phi-4-mini-instruct"": 0.18, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.12}","[""Highly formulaic expository structure with broad claims and repeated transition markers."", ""The passage ends mid-sentence, suggesting truncation or generation artifact."", ""Vocabulary and sentence patterns are consistent but generic, with limited concrete specificity.""]",981.0,196.0,1177.0,
test::T0084,T0084,test,opinion,gemini,gemini-3.5-flash-lite,0,False,"[""mistralai/Mistral-7B-Instruct-v0.3"", ""google/gemma-4-E4B-it"", ""Qwen/Qwen3-4B-Instruct-2507"", ""HuggingFaceTB/SmolLM3-3B"", ""human"", ""microsoft/Phi-4-mini-instruct""]",Qwen/Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,ai,0.65,"{""human"": 0.1, ""HuggingFaceTB/SmolLM3-3B"": 0.05, ""Qwen/Qwen3-4B-Instruct-2507"": 0.65, ""google/gemma-4-E4B-it"": 0.05, ""microsoft/Phi-4-mini-instruct"": 0.1, ""mistralai/Mistral-7B-Instruct-v0.3"": 0.05}","[""Typical formulaic essay structure with standard introductory thesis, balanced pro/con paragraphs, and a summarizing conclusion."", ""Slightly repetitive phrasing common to certain instruction-tuned language models when generating argumentative essays."", ""Abrupt truncation at the end of the text, characteristic of token limit cutoffs in automated generation.""]",,,1186.0,
