domain,prompt_id,source_type,model_name,model_id,text,n_words,valid_length,seed,temperature,top_p,human_dataset
howto,,human,human,human,"Talk to your friend and try to appreciate his or her position. Your friend may have genuine feelings for your crush that seem to be reciprocated. If they really are your friend, you should want to see things work out for them one way or another.If your friend really cares about your crush, the right thing to do may be to see how things go. If your friend doesn’t seem to feel too seriously about your crush, he or she may understand if you tell them about how you feel. If your friend has strong feelings for your crush and you interfere, you risk ending your friendship.; , Your crush’s feelings should be paramount to you if you really care about him or her, so take a step back and consider the situation. Does your crush seem to truly care about your friend? Are there any signs that he or she may have been interested in you? It may be difficult to accept that your crush may not have an interest in you romantically, but understand that it doesn’t mean you are any less valuable or attractive as a person. Maybe you two simply aren’t right for each other. If your crush seems like he or she is interested in you and doesn’t care too deeply about your friend, you may want to consider being honest with each of them about your feelings. , There are many different kinds of crushes one can have on another person. How deep are your feelings for your crush? How well do you know him or her? If you have strong feelings you fear you may not be able to push aside, you may want to tell them the truth.If you don’t know your crush very well, it may not be worth the damage honesty could cause to your friendship. If you are uncertain about your feelings, take a step back and give yourself some time. There’s no reason to make any rash decisions. Infatuation and love are different emotions that feel very similar. Infatuation often occurs when you are caught up in the excitement of meeting a person you like, but the feelings often lack longevity. , After considering your feelings, the feelings of your friend and the feelings of your crush, you’ll have to determine what you think the best course of action is.",392,True,,,,boundless-asura/wikihow
howto,,human,human,human,"Clearly there was a reason you were dropped from the side and you'll need to work on remedying the reason before you can earn back your place on the team. Whether it's poor passing or being too unfit, focus on doing what you can to improve your performance. If it's lack of fitness or a particular physical weakness, put together a training program that targets the areas you're not strong in. If it's about lacking mental determination or stamina, you'll need to spend some time working on improving your confidence and belief in your abilities. You might find improving your visualization skills to be helpful. ; , Even if you aren't the best at a lot of things that are involved in the game, doing even one thing better than anyone else can prove to others that you need to be on the team. If you're not the fastest bowler or the strongest batsman, make yourself the best fielder, the person with the most motivation or the best team-player. , People who attend team meetings and practices, who become friends with other players or team members, or who perform fundraising and other non-game related tasks, show that they committed to the team, and that is the most important attribute no matter your skill. , Since you've been dropped from the side, you'll need to work harder than anyone else on the team, so get in extra practices and read up about your sport frequently to keep ahead of the other players. Learn from the professionals in your sport by reading their biographies and about their wins – what moves, tactics, and thinking strategies are they using to make their game or sporting prowess much greater? , Although being too obvious is probably a bad idea, make sure you show off your new skills at practices and make sure other team members can see you've improved. Whenever there is a new round of try-outs or selections for your team, be sure to put down your name and go for it with the attitude that this is a fresh start. , Nothing is more important than maintaining a good attitude, even when you may feel sour for being dropped. Remember to keep in there and never give up!",376,True,,,,boundless-asura/wikihow
howto,,human,human,human,"Find a park bench and sit on it for awhile. Lay a blanket on the grass and take a quick, sunny nap. Lounge on a tree-shaded chair. You may feel compelled to stay inside due to your nesting instinct, etc., but push yourself to head outdoors for at least 30 minutes every day. , Make sure that you consume consistent meals and healthy snacks throughout the day. For example, eat at least four servings of veggies every day and between two to four servings of fruit as well. Try to include a protein, dairy, and grain product in every major meal as well. Limit your consumption of processed foods and sugars. Eating well will make you more able to cope with the physical and emotional challenges you’ll face during pregnancy.Staying hydrated by drinking plenty of water will also help to alleviate pregnancy headaches, which will provide a boost to your spirits as well. If you struggle to eat properly while pregnant, you may want to see a nutritionist. They can provide you with easy-to-follow meal plans and also give you positive support during and after your pregnancy. , Do at least three 30-minute sessions of some sort of exercise each week. This could mean walking or even taking a prenatal yoga class. The point is not to prove that you can run a marathon, this is about you recognizing the strength and beauty of your body. Do activities that make you feel exhilarated, not exhausted.Watching how well your body continues to respond to exercise, even late in pregnancy, will also help to diminish some of the concerns that you might have about the birth process itself. Trusting your body is something that takes time to develop. Make sure to consult with your doctor regarding your exercise patterns. You may need to avoid certain activities, such as horseback riding, or tailor other activities to accommodate the changing health needs of you and your baby. , Aim to get at least eight solid hours of uninterrupted sleep a night. And, try to fit in at least one 30-minute nap each day, add additional and longer naps if you can. Getting enough rest is important because lack of sleep can increase negative emotions and aggravate other physical symptoms that you may be experiencing, such as nausea. Exhaustion is the most common complaint made by women in the first trimester of pregnancy.",398,True,,,,boundless-asura/wikihow
howto,,human,human,human,"One symptom you'll notice immediately is a change in your energy levels and recovery time. If you are over exercising you'll see a decrease in energy and an increase in the amount of time you need to recover from certain exercises.If you're noticing an overall lack of energy or inability to complete your normal workouts, this is a sign you need a rest. Also, if you notice continued muscle soreness (past the 72 hour mark), this is a signal your muscles have not recovered or repaired themselves. You'll need to continue with rest until the soreness resolves completely.If you have increased injuries or an injury that won't heal, take a rest and definitely go see a doctor to diagnose the issue. If you notice muscle pain while you are exercising, you may not have gotten enough rest in between exercise days.; , One obvious sign of exercising too much is a disrupted sleep pattern. This is one of the first signs you may notice. Either sleeping too much or experiencing insomnia is a sign that you might be pushing yourself too much.First, start by figuring out how much sleep you typically get on a ""good night."" Do you sleep eight hours or a little more or less? This will be your norm and the basis for you to judge whether or not your sleep habits have changed. Many people start to notice they're having difficulty sleeping or they're experiencing some insomnia.Insomnia is defined as having difficulty falling asleep or staying asleep.Studies have shown that too much exercise may increase stress hormones in your body preventing you from falling or staying asleep.On the other hand, you may notice that you experience increased fatigue and increased desire to sleep longer or more often during the day. If you're staying in bed for nine, 10 or more hours, you may be exercising too much. , You may not realize how your mood, mental state or motivation is affected by over exercising. Any changes to your typical personality may also be a sign you've put in too much time at the gym.Changes in mood or feeling depressed are associated with overtraining. If you notice you've been snappy more often, feeling ""blue"" or have just been more irritable, take a look at how much you've been exercising.Another thing to track along with mood is your feelings about working out.",394,True,,,,boundless-asura/wikihow
howto,,human,human,human,"You will want to look for a level area most likely covered with grass or a previously grown crop. Two pot bellied pigs can till up a 10ft x 10ft (3 meters x 3 meters) pasture area in the summer in approximately a month.; , You will want to have a place for the pigs to seek shelter from storms and get shade on sunny days. The house can be bottomless to allow the pigs to make a nest in the dirt below it. The house should also be light enough that you will be able to move it. Twelve bales of straw arranged in 3.5 sides make a great, portable pig house, especially if topped with polycarbonate that overlaps the edges, especially on the shady side, and is weighted down with heavy metal. The pig will nose loose straw into bedding and nestle within it at night. , If using a permanent fence, make sure that the fence is very sturdy - pigs are strong. Cattle panels work well if they're well anchored. Pigs can push down or root under many fences. If you are planning on moving the pigs to make your garden bigger (or if you want to make sure you have a fence the pigs cannot get out of) you may want to set up an electric fence. Several strands of poly-tape or electric tape suspended approximately one foot off the ground can contain pigs, once they are trained to the fence. ElectroNet fences also will work well. , Pigs are very social animals and like to live with at least one other pig. A pig's size depends on its breed and can range from a 150 pound pot bellied pig to a 700 pound Hampshire boar. If you do not have any experience with large livestock, your best choice is probably a smaller breed. , Make sure the pigs have access to water via a large water bowl or trough. , Pigs love nothing more than rooting around in the soil, eating grass, roots, bugs and any other delicious treats they may find. While exhibiting this natural behavior, they unearth anything that is growing and leave behind tilled soil that is full of organic material and the pigs' own natural ""fertilizer."" , Once the area is turned over and most of the previous ground cover has been eaten, you have two choices.",397,True,,,,boundless-asura/wikihow
howto,,human,human,human,"Before, he always seemed ready to hang out, and now, his reasons for not being able to see you are piling up. At first, you believed him when he said he had a stomach ache or was too tired to go out, but you're starting to wonder if he's really trying to tell you that he doesn't want to spend time with you because he's busy hanging out with some other girl. Here are some signs that he may be cheating: If he used to save all of his free time for you, but now he's always going out for ""boy's night."" This is especially suspicious if he doesn't have that many male friends, or never showed much of an interest in hanging out with his bros before. If he's suddenly working overtime all the time. Though he's worked overtime occasionally in the past, suddenly things are really busy at work, and he seems to always be there instead of hanging out with you. Of course, many professions have a busy season, and he could be working on a more time-consuming project, but it's more likely that he's using overtime to mean ""time with my other girlfriend."" If he's always too tired to stay out late or hang out and was never tired before, this may be a sign that he's using his energy on someone else. If you made a routine of having lunch or dinner together often and now he's never in the mood, or just doesn't feel well or isn't hungry. None of these signs alone means that your boyfriend is cheating on you. But if all of these things come up repeatedly, then it either means that he's spending a lot of quality time with someone else, or that he doesn't want to spend time with you anymore. If he's always making excuses for why he doesn't want to hang out with you, then you should ask yourself why you're still in the relationship. , Even when he's not making excuses, your boyfriend could start saying things that make him sound like another person all together. If there's suddenly a change in how he talks to you and how he talks in general, then he may be thinking of another lady. Here are some signs that the things he says may show that he's cheating: If he stops complementing you.",394,True,,,,boundless-asura/wikihow
howto,,human,human,human,"People can experience pain from a fight or break up in different ways, and your sister is no exception. Don't just assume what she is feeling; it will vary depending on who the fight was with or what the break up entailed. If she looks devastated, now is the time to step in and show some love; don't say anything along the lines of, 'Your boyfriend was a jerk anyway"" or ""You deserved better than a fight like that"". Maybe hug her or bring her a bowl of ice cream. If she looks angry or frustrated, show her that you feel the same way. Help her express her anger positively, whether it's screaming into a pillow or going to a karate class.; , If she is in the middle of crying her heart out, you should give her some space. While you may think bringing her some chocolate will help, it could come across that you don't care about her pain and are trying to change the subject. It is crucial to let your sister be alone and figure out her emotions herself if you are the one who started the fight or made her upset. You can cheer her up and say your apologies later when she is done crying and has had some time to think. If your sister is angry or frustrated and yells at you when you try to comfort her, back off. She obviously doesn't want your help if she verbally told you so. This also goes for if she is having an anger episode or expressing her emotions violently (screaming/yelling, kicking, punching, throwing things, etc.) , If she says no, respect that and say something like, 'That's okay, we don't have to talk. I'm happy just to sit here with you' and hug her. If she does talk about her feelings, genuinely listen and say something like, 'I'm here for you' or 'this must be hard for you'. Sometimes this will help her feel better, but in some situations it may not be the best option. , Make her a special breakfast in bed, give her a homemade card, do something with her that she loves, or anything that will show her that you're there for her in her time of pain. , Just because you're there, doesn't mean she'll chin up immediately.",389,True,,,,boundless-asura/wikihow
howto,,human,human,human,"Dictionaries contain definitions of words, their usage, and their origins. All of this information can help you decide if a given word is the right word to use in the section of text you're working on. Dictionaries are available in both hard-copy and online format; you may want to make use of both formats. Use the dictionary to help you communicate better with your readers, not to inject fancy words into your writing that send them to the dictionary to understand what you're trying to say. Do use less-familiar words that can readers can figure out the meaning of from the context the words are used in. Specialized dictionaries exist for certain industries that have their own jargon, such as information technology, the law, or medicine. If you write a certain type of fiction, such as medical thrillers, police procedures, or science fiction, you may want to get a dictionary devoted to specialized terminology to go alongside your general dictionary. , A thesaurus is a listing of synonyms, grouping words and phrases together that have the same or similar meanings. Printed thesauruses are organized in 1 of 2 ways, either in dictionary fashion or with an index in the front, listing categories and code numbers for each subtopic, followed by the synonym groups that fall under those categories and code numbers. Online thesauruses feature a search field into which you type the word or phrase you want to find a synonym for and then list the synonyms grouped by the particular connotation (shade of meaning) of the word you typed. , You can take advantage of vocabulary builders such as Word of the Day, in either day calendar or Internet form, and books such as ""30 Days to a More Powerful Vocabulary."" , As you read, pay attention to how the writer uses words to paint a visual picture in your mind and look for ways to emulate those techniques in your own writing. , Poetry makes considerable use of imagery and symbolism in the words it uses, as well as the meter and rhyme. Reading and writing poetry can help you learn to use words that convey images to others in your prose writing. , Games such as Scrabble, Bananagrams, and Unspeakable Words help you develop and practice your vocabulary, with the competition against other players substituting for the pressure of a deadline to stimulate your thinking process.",399,True,,,,boundless-asura/wikihow
howto,,human,human,human,"Do jumps over a soft surface and always wear sneakers or other gym appropriate shoes.; , Always stretch before jumping and during any other free time. You can even stretch while you watch TV. The following are only a few of many exercises that will help stretch the important muscles used for jumping: Sitting Straddle: Sit on the floor with your legs out in the shape of a ""V"" as far as possible. First, lean to your left foot and grab around the foot. You should feel it stretching your side and the back muscles of your thigh. Then, switch to the right side. Finally lean down the middle by pushing your hands forward as far as possible without having the legs or feet turn inwards. Sitting Toe touch: Sit on the floor with your legs beside you. Point your toes and lean to each side holding for about 10 seconds. Grab your feet if possible and pull your head to your knees. Flex your feet so that your toes point up and stretch side to side again. The stretch will be in the back of your calves (the back of the bottom part of your legs). Sitting Pike: Sit on the floor with your legs stretched in front of you, knees extended outwards, and your feet touching each other. Stretch in front of you holding for 10 seconds.. Lean forward as far as possible, getting your face close your feet. Then, still keeping your feet together, try holding it longer, or for another 10 seconds. , As a main part of cheerleading, jumps should be practiced as often as possible. Great jumps make a better cheerleader. Jumps are always done in eight counts. Some popular jumps include the t-jump, spread eagle, hurdler- front and side, shushunova, around the world, double hook, and double 9. Here are a few examples of how to do important jumps: Toe-Touch. Begin with feet shoulder width apart and hands on your hips. Hold this position for ""5,6,7,8"". On ""1"", snap your feet together and put your arms up in a tight V. On ""2"", swing your arms down so that they cross each other in front of you, and bend your knees. When your arms are fully crossed your knees should be in a deep bend. As you swing your arms out, begin to jump up. Hit the full toe-touch on ""3"".",398,True,,,,boundless-asura/wikihow
howto,,human,human,human,"Hold the ball between your index and middle fingers. Slot the ball between these fingers, so they’re split wide but comfortably and the seam runs between them horizontally. Bend your ring and little fingers, so the inside of your ring finger touches against the side of the ball. Your little finger should rest along your ring finger.“Two fingers down and two fingers up” is a quick way to remember the grip. Your index and middle fingers are straight and point “up,” while your ring and little fingers are bent and point “down.”; , Make sure there is space between your palm and the ball. If it is pushed too far into your palm, then you won’t have the leverage you need to properly spin it. Your wrist and middle finger will do all of the work., Holding the ball too tight also prevents you from getting the right leverage and from controlling the spin. Let it gently rest between your middle and index fingers, with your thumb held close to the index finger but off the ball. Your whole hand will give the ball motion, but only these contact points will give it rotation and curve. Keeping your grip loose allows for more freedom of motion when you spin it., Bend your wrist at a 90-degree angle to prepare your delivery, so that if you put your arm straight down and flat at your side, the palm of your hand (and the ball) face upwards. Holding your wrist at this angle will allow you to quickly rotate the ball from right to left when you release it. Remember that the leg break’s rotation comes from the motion of the wrist and middle finger, so set your wrist so you’ll be able to cock it correctly., Aligning the left side of your body with your target. This will help you aim and control your approach. It will also allow you to gather momentum when you rotate your body when you throw the ball., Get your stance ready for your approach. Your run up cannot too straight nor too angled. Either extreme will prevent you from rotating the ball properly and from using your non-bowling arm for momentum. , Right before you bowl, lift and slice your non-bowling arm down hard in front of you. Use your arm and the left side of your body to give you more momentum.",398,True,,,,boundless-asura/wikihow
