provider,judge_model,split,domain,n,binary_accuracy,binary_macro_f1,human_recall,ai_recall,attribution_accuracy,attribution_macro_f1,mean_confidence,binary_roc_auc
gemini,gemini-3.5-flash-lite,test,howto,10,0.9,0.898989898989899,1.0,0.8,0.7,0.4166666666666667,0.5916666666666666,1.0
gemini,gemini-3.5-flash-lite,test,news,12,0.8333333333333334,0.8125,1.0,0.6,0.5833333333333334,0.12962962962962962,0.7433333333333332,1.0
gemini,gemini-3.5-flash-lite,test,opinion,7,0.7142857142857143,0.7083333333333333,1.0,0.6,0.2857142857142857,0.09523809523809523,0.6095238095238095,1.0
gemini,gemini-3.5-flash-lite,test,review,11,0.8181818181818182,0.8035714285714286,1.0,0.6,0.5454545454545454,0.125,0.746060606060606,0.9833333333333334
gemini,gemini-3.5-flash-lite,test,story,9,0.5555555555555556,0.5,1.0,0.2,0.4444444444444444,0.1111111111111111,0.7277777777777779,0.95
openai,gpt-5.6-luna,test,howto,11,0.45454545454545453,0.3125,0.0,1.0,0.18181818181818182,0.21428571428571427,0.24060606060606063,0.75
openai,gpt-5.6-luna,test,news,12,0.9166666666666666,0.916083916083916,0.8571428571428571,1.0,0.5833333333333334,0.2371794871794872,0.5544444444444444,1.0
openai,gpt-5.6-luna,test,opinion,7,1.0,1.0,1.0,1.0,0.2857142857142857,0.16666666666666666,0.4395238095238095,1.0
openai,gpt-5.6-luna,test,review,11,1.0,1.0,1.0,1.0,0.7272727272727273,0.4444444444444444,0.6093901324805848,1.0
openai,gpt-5.6-luna,test,story,9,0.5555555555555556,0.35714285714285715,0.0,1.0,0.4444444444444444,0.3444444444444444,0.2707407407407407,0.9
openai,gpt-5.6-terra,test,howto,11,0.45454545454545453,0.3125,0.0,1.0,0.18181818181818182,0.13095238095238096,0.26454545454545453,1.0
openai,gpt-5.6-terra,test,news,12,0.8333333333333334,0.8333333333333334,0.7142857142857143,1.0,0.6666666666666666,0.5,0.5525833333333333,1.0
openai,gpt-5.6-terra,test,opinion,7,1.0,1.0,1.0,1.0,0.42857142857142855,0.2222222222222222,0.455952380952381,1.0
openai,gpt-5.6-terra,test,review,11,1.0,1.0,1.0,1.0,0.6363636363636364,0.27777777777777773,0.6081818181818182,1.0
openai,gpt-5.6-terra,test,story,9,0.5555555555555556,0.35714285714285715,0.0,1.0,0.3333333333333333,0.31666666666666665,0.2751851851851852,0.9
