Text,Source
The table came to the nursery while leaving its baby toaster at home frying nuggets. In the street it saw the taco officer fighting with Netanyahu over french fries. Then a hammer exploded out of nowhere while the Sun came over to play GTA 6 on a burrito. Suddenly the bald kid was crying over pebbles since the cat yelled over the beard. The soccer ball was trying to arrest the cop who came to give a knife to the cook. He then put a machine by the nightstand of the crazy lady.,human
She couldn’t come home to see here dad because the Japanese administration banned whales of the airs. Since she moved to sales she beat the shit out of the Indian prime minister over the cow shit. They beat each other on Mario kart but he was loved more and favored princess peach over toad which is a tragedy since her kids love to eat bacon over the whales. It had protection from the world cup champion which concluded on the DA agreeing to Luigi coming back home to take care of the schawarma.,human
"The bird went to its favorite bowling place only to get upset that the laptop of Obama had pictures of schawarma with the tahini as a wallpaper. This made him buy a switch 2 even though it was a pc only guy kind of bird, but the vendor refused to sell him the switch since a bird should only play on XBOX. It angered him to the point that it fought with the tennis table. A fight which resulted in a draw where eggs were lost. The president of Nintendo had to apologize for such an unwishful event.",human
"I know I said it before but now I turned off my light to access the spiderman paradise. Stan lee was waiting us there while drawing new illustration for the weekly shonen jump in preparation for the call he was waiting from Robert Downey Jr. about the new iron man vs superman comic. Batman was waiting outside, checking the sky for the lollipop signal to fetch the majora mask out of the prison. But what he didn’t know was that Thanos was already there eating ice cream on top of a pile of defeated superheroes.",human
"The turtle said it had my backs, but when I entered the ring to fight Mike Tyson this scum fled on me. I was so disappointed that I rented a car to track it until the end of time. Then, suddenly, the thunder came and asked me to stop at the request of Zeus. I replied that Chaos sent me and since Chronos was on my side we decided to just go watch the latest Christopher Nolan movie. It wasn’t as good as the barbie movie, but it was still a great experience.",human
"A boy comes home from the jungle and tells his father that he found chairs and tables as big as ants. This boy is 12 years old and in his final year of high school. He enjoys working on his stories and vocabulary, but as soon as he sits in a tree, he starts thinking about his candles. He often cleans them with water and also uses chocolate to remove the toughest stains. His father thinks he should go boating in the Sahara Desert because the temperatures there are quite mild and the waves are very high.",human
"The doctor came to repair my phone because the stitching on its back pocket had come undone. He diagnosed my headphones and said they were drowning. To fix all this, I thought I should go eat fish cooked over a campfire, but the doctor said I absolutely shouldn't do that; instead, I should go clean rivers and boil socks. He's a reputable doctor, so he must be right. However, I went to get a second opinion from one of his colleagues, a well-known swimming instructor in the area, and he told me the doctor's diagnosis was correct.",human
"When I went to visit the moon, I was impressed by the wall that runs through my city. There were clouds and flowers, and the temperature was blue. I generally prefer it when it's pink, but that doesn't depend on me, but on the pots and bottles used. So I make do and let time do its work. My favorite moment during this walk was when my friend joined me, and we strolled through the entire forest, where the buildings were impressive and gigantic, and the roads were all perpendicular to each other, just like in that famous city in France.",human
"In this old town near my house, the birds walk like soldiers and the soldiers fly like birds. The skyscrapers have four floors and the elevators have steps. Thomas was very quick to come and get his elephant. He tried to put it in his pocket, but since it was blue, he decided to put it in his hat. It was nice and cold in there, so it kept sweating. This bothered him, so he put it in a lightbulb and took it to his favorite place, on the clouds above the computers. His sofa battery was dead, so he went and put it in a drawer. A little while later, Thomas went to join him, and they drank some perfume together.",human
"She went to eat at her favorite movie theater, ordering a ribeye steak with socks, and asked for a subway car to go with it. For dessert, her attendant offered her a chocolate tree, but it was sold out, so she settled for a cushion cake, which she thoroughly enjoyed. She was accompanied by her whale and her mirror, but they didn't particularly enjoy dinner, so they took some stairs and went to rest on the highway. The music there was very quiet, and the rustling of the curtains lulled them to sleep. They woke up at nightfall and packed up their things.",human
