id,domain,model_name,predicted,reason
T0108,opinion,Mistral-7B-Instruct-v0.3,gemma-4-E4B-it,"The text discusses the benefits of a car-free city center, aligning with the content and style of the ""gemma-4-E4B-it"" author."
T0116,story,Mistral-7B-Instruct-v0.3,human,The text is written in a poetic and descriptive style typical of human-authored content.
T0003,news,Mistral-7B-Instruct-v0.3,Qwen3-4B-Instruct-2507,"The text discusses electric vehicle battery recycling, which aligns with the expertise of Qwen3-4B-Instruct-2507, who specializes in instructing on topics related to sustainability and technology."
T0123,howto,Mistral-7B-Instruct-v0.3,human,The text describes a scientific concept using clear language and provides examples relevant to the topic. It appears to be written by someone knowledgeable about photosynthesis who has explained it in a way that is easy to understand.
T0111,review,Mistral-7B-Instruct-v0.3,gemma-4-E4B-it,"The text describes a restaurant called ""Pasta Famiglia"" located in downtown, offering authentic Italian cuisine, and mentions specific dishes like Rigatoni alla Bolognese and Caprese salad. These details align closely with descriptions found in texts written by Gemma-4-E4B-it."
T0109,opinion,Mistral-7B-Instruct-v0.3,Qwen3-4B-Instruct-2507,"The text discusses the concept of AI art and its potential impact on the art industry, which aligns with the writing style and content of Qwen3-4B-Instruct-2507."
T0113,review,Mistral-7B-Instruct-v0.3,human,"The text describes a real-life experience and recommendations for a hotel stay, indicating that it was written by a person rather than one of the AI models listed."
T0101,news,Mistral-7B-Instruct-v0.3,Qwen3-4B-Instruct-2507,"The text closely matches the style and content of the ""Qwen3-4B-Instruct-2507"" model, which is known for providing detailed explanations and examples related to economic concepts."
T0122,howto,Mistral-7B-Instruct-v0.3,human,"The text provides a detailed, step-by-step guide to beginning a running routine, which aligns closely with common advice found in health and fitness literature. The language and structure suggest it was likely written by someone familiar with the topic, possibly a personal trainer or fitness expert."
T0105,opinion,Mistral-7B-Instruct-v0.3,Qwen3-4B-Instruct-2507,"The text closely matches the style and tone of Qwen3-4B-Instruct-2507, which is designed to be informative and balanced, discussing both the positive and negative aspects of social media usage."
T0060,opinion,Phi-4-mini-instruct,Qwen3-4B-Instruct-2507,"The text closely mirrors the style and content of Qwen3-4B-Instruct-2507, including formal language, structured arguments, and references to specific cities (Amsterdam and Copenhagen) as examples."
T0068,story,Phi-4-mini-instruct,Qwen3-4B-Instruct-2507,"The text is written in a style consistent with Qwen3-4B-Instruct-2507, which is designed for instruction-based tasks such as writing prompts or descriptions."
T0004,news,Phi-4-mini-instruct,Qwen3-4B-Instruct-2507,"The text discusses electric car battery recycling, which aligns with the expertise of Qwen3-4B-Instruct-2507, who specializes in instructive content related to artificial intelligence and machine learning."
T0075,howto,Phi-4-mini-instruct,human,"The text provides a detailed explanation of photosynthesis, including its definition, components, and how it works. It uses clear language and examples to explain the process, indicating that it was likely written by a human."
T0063,review,Phi-4-mini-instruct,gemma-4-E4B-it,"The text is written in Italian, which matches the language used in the provided list of authors. Additionally, the content describes a restaurant named ""Bella Italia,"" which is consistent with the information provided about the author."
T0061,opinion,Phi-4-mini-instruct,Qwen3-4B-Instruct-2507,"The text discusses AI-generated art and its implications on traditional views of art, aligning with the style and content of Qwen3-4B-Instruct-2507."
