row_id,true_source,provider,judge_model,predicted_source,confidence,reason,error
0,human,openai,gpt-5.6-luna,ai,0.98,"The text consists of highly disjointed, surreal sentences with abrupt subject shifts and weak causal or semantic coherence. Its noun combinations and repetitive “X was/came to” constructions resemble generated absurdist text.",
0,human,gemini,gemini-3.5-flash-lite,ai,0.99,"The text displays the surreal, disjointed narrative logic and rapid, bizarre topic shifts characteristic of unconstrained AI generation.",
1,ai,openai,gpt-5.6-luna,ai,0.99,"The text uses deliberately surreal object substitutions and rigidly escalating absurdity, with highly polished, uniform sentence structure. Its nonsensical imagery appears formulaically generated rather than naturally irregular.",
1,ai,gemini,gemini-3.5-flash-lite,ai,0.85,"The surreal narrative flows seamlessly with a uniform, slightly deadpan tone, typical of AI-generated absurdist fiction.",
2,ai,openai,gpt-5.6-luna,ai,0.98,"The text uses a highly deliberate chain of surreal, semantically incompatible actions with uniform sentence structure and escalating absurdity. Its polished, formulaic randomness is more characteristic of AI-generated text than natural human narration.",
2,ai,gemini,gemini-3.5-flash-lite,ai,0.85,"The text displays surreal, dream-logic absurdism with a smooth, neutral tone characteristic of AI-generated creative prompts.",
3,human,openai,gpt-5.6-luna,ai,0.99,"The text contains abrupt, semantically incoherent topic shifts, malformed phrases, and unlikely combinations of people, objects, and events. Its chaotic structure and nonsensical substitutions are characteristic of generated text.",
3,human,gemini,gemini-3.5-flash-lite,human,0.95,"The text contains erratic, surreal transitions and non-sequiturs that lack the typical coherence and structure of AI-generated text.",
4,human,openai,gpt-5.6-luna,ai,0.97,"The text uses a highly surreal chain of loosely connected images, abrupt causal shifts, and playful contradictions in a manner characteristic of generated nonsense prose.",
4,human,gemini,gemini-3.5-flash-lite,human,0.85,"The text features surreal, illogical imagery and whimsical non-sequiturs characteristic of human creative writing rather than predictable AI generation.",
5,human,openai,gpt-5.6-luna,ai,0.99,"The passage combines grammatically smooth sentences with conspicuously contradictory and semantically implausible details, such as tiny “chairs and tables” and boating in the Sahara. Its loosely connected, surreal progression is characteristic of generated text.",
5,human,gemini,gemini-3.5-flash-lite,ai,0.99,"The text contains a string of surreal, logically disconnected statements typical of synthetic text generation prompts.",
6,ai,openai,gpt-5.6-luna,ai,0.98,"The text uses highly polished, promotional food-blog language with stacked clichés and exaggerated adjectives. Its generic seasonal framing and repetitive enthusiasm feel formulaic rather than personally specific.",
6,ai,gemini,gemini-3.5-flash-lite,ai,0.95,"The text features classic AI-generated food blogger tropes, such as excessive adjectives (""crisp autumn leaves"", ""soul nourishing"") and formulaic transitions.",
7,human,openai,gpt-5.6-luna,ai,0.99,"The text combines many unrelated pop-culture elements in a highly surreal, syntactically awkward sequence, with abrupt continuity and generic connective phrasing characteristic of generated text.",
7,human,gemini,gemini-3.5-flash-lite,human,0.9,"The text contains erratic, dream-like surrealism and casual grammatical imperfections typical of spontaneous human internet writing.",
8,ai,openai,gpt-5.6-luna,ai,0.99,"The text uses a highly formulaic sequence of surreal, semantically incompatible events, such as charging a sandwich and sleeping carrots occupying outlets. Its smooth syntax and deliberate accumulation of absurd substitutions are characteristic of generated nonsense.",
8,ai,gemini,gemini-3.5-flash-lite,human,0.85,"The text contains surreal, dream-like absurdist humor ('square wheels made of paper', 'charge her sandwich') that typically reflects human creative writing rather than standard AI generation.",
9,ai,openai,gpt-5.6-luna,ai,0.98,"The passage uses a highly structured sequence of absurd, disconnected images with uniformly polished grammar and whimsical noun combinations. Its surreal events and mechanical progression are characteristic of generated text.",
9,ai,gemini,gemini-3.5-flash-lite,human,0.85,"The surreal, dreamlike narrative lacks the typical predictable transitional phrases and moralizing tone often found in AI generation.",
10,ai,openai,gpt-5.6-luna,ai,0.98,"The passage uses highly polished, generic wellness language, repeated motivational imperatives, and formulaic spiritual phrases such as “trust the process” and “toxic energy.” Its consistently smooth, abstract style lacks specific personal detail or natural irregularity.",
10,ai,gemini,gemini-3.5-flash-lite,ai,0.99,The text heavily relies on common wellness clichés and formulaic AI phrasing like 'radiant being of light' and 'tapestry of life'.,
11,human,openai,gpt-5.6-luna,ai,0.98,"The text combines arbitrary entities and events in a highly surreal, loosely coherent sequence, with awkward phrasing such as “pc only guy kind of bird” and “unwishful event.” These appear characteristic of generated text rather than natural human narration.",
11,human,gemini,gemini-3.5-flash-lite,human,0.95,"The text contains absurd, surreal humor and disjointed narrative leaps characteristic of human-authored shitposting rather than AI generation.",
12,human,openai,gpt-5.6-luna,ai,0.98,"The text uses a highly formulaic narrative with surreal noun substitutions, such as “ribeye steak with socks” and “chocolate tree.” Its smooth, grammatically consistent progression despite semantic incoherence is characteristic of generated text.",
12,human,gemini,gemini-3.5-flash-lite,human,0.85,"The text features surreal, dream-logic absurdities (like eating socks and a subway car) that depart from typical AI predictability.",
13,ai,openai,gpt-5.6-luna,ai,0.97,"The text uses highly controlled absurdity, escalating surreal combinations, and a neatly structured narrative with punchline-like details. Its phrasing is unusually polished and consistently whimsical, suggesting generated humor.",
13,ai,gemini,gemini-3.5-flash-lite,human,0.85,"The text exhibits surreal, dream-like creative absurdity and whimsical non-sequiturs characteristic of human fiction rather than standard AI generation patterns.",
14,human,openai,gpt-5.6-luna,ai,0.98,"The text has highly abrupt, surreal transitions and a deliberately incoherent chain of references, with awkward phrasing such as “had my backs.” Its uniformly compressed, improbable narrative resembles generated absurdist text.",
14,human,gemini,gemini-3.5-flash-lite,human,0.95,"The erratic, highly surreal narrative shifts lack the typical predictive smoothness of AI, resembling human-generated absurd humor.",
15,ai,openai,gpt-5.6-luna,ai,0.98,"The text relies heavily on generic corporate buzzwords, stacked modifiers, and formulaic claims with little concrete specificity. Its polished, repetitive marketing cadence is characteristic of AI-generated copy.",
15,ai,gemini,gemini-3.5-flash-lite,ai,1.0,The text relies heavily on dense corporate buzzwords and cliches typical of AI-generated marketing copy.,
